Year,Type,Product group,Producer,Code,Volume,Cost per unit,Price per unit,Revenues,Total Cost,Profit Percent,Summary Profits
2018,Convenience stores,Coffee,J&F,|13/12/37|,9552,1.03,1.18,"$11,271.36","$9,838.56",13,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/39|,6612,0.63,1.12,"$7,405.44","$4,165.56",44,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/40|,7056,0.8,1.06,"$7,479.36","$5,644.80",25,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/41|,6108,1.17,0.99,"$6,046.92","$7,146.36",-18,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/42|,7152,0.93,1.18,"$8,439.36","$6,651.36",21,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/43|,8988,1.12,1.01,"$9,077.88","$10,066.56",-11,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/44|,6588,1.1,1.13,"$7,444.44","$7,246.80",3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/45|,8280,0.85,1.03,"$8,528.40","$7,038.00",17,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/46|,7104,0.77,1.05,"$7,459.20","$5,470.08",27,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/47|,7920,0.46,1.07,"$8,474.40","$3,643.20",57,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/48|,9492,1.06,0.92,"$8,732.64","$10,061.52",-15,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/49|,9288,1.19,1.18,"$10,959.84","$11,052.72",-1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/51|,6660,1.15,1,"$6,660.00","$7,659.00",-15,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/52|,6372,0.51,1.12,"$7,136.64","$3,249.72",54,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/53|,5508,1.17,1.19,"$6,554.52","$6,444.36",2,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/54|,5916,0.96,1.05,"$6,211.80","$5,679.36",9,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/55|,6228,0.85,1.03,"$6,414.84","$5,293.80",17,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/56|,9564,0.67,1.1,"$10,520.40","$6,407.88",39,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/57|,9264,0.78,1.13,"$10,468.32","$7,225.92",31,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/58|,8280,0.48,0.99,"$8,197.20","$3,974.40",52,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/59|,5172,0.61,1.05,"$5,430.60","$3,154.92",42,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/60|,6180,0.55,1.04,"$6,427.20","$3,399.00",47,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/61|,6072,0.93,1.16,"$7,043.52","$5,646.96",20,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/62|,6744,1.13,1.03,"$6,946.32","$7,620.72",-10,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/63|,6540,0.74,1.13,"$7,390.20","$4,839.60",35,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/64|,6468,0.48,1.13,"$7,308.84","$3,104.64",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/65|,4824,0.58,0.99,"$4,775.76","$2,797.92",41,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/66|,5772,0.93,1.07,"$6,176.04","$5,367.96",13,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/67|,8340,0.82,1.01,"$8,423.40","$6,838.80",19,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/68|,7932,0.9,0.9,"$7,138.80","$7,138.80",0,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/69|,7992,0.75,1.19,"$9,510.48","$5,994.00",37,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/70|,8316,0.97,1.15,"$9,563.40","$8,066.52",16,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/71|,7332,0.92,1.14,"$8,358.48","$6,745.44",19,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/72|,9348,1.09,0.95,"$8,880.60","$10,189.32",-15,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/73|,6288,0.52,1.14,"$7,168.32","$3,269.76",54,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/74|,6360,0.76,0.91,"$5,787.60","$4,833.60",16,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/75|,9492,0.49,1.18,"$11,200.56","$4,651.08",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/76|,7488,0.52,0.95,"$7,113.60","$3,893.76",45,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/77|,9264,0.95,1.16,"$10,746.24","$8,800.80",18,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/78|,8220,0.74,1.01,"$8,302.20","$6,082.80",27,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/79|,9156,1.03,1.02,"$9,339.12","$9,430.68",-1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/80|,9144,0.59,1.02,"$9,326.88","$5,394.96",42,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/81|,5724,0.93,0.93,"$5,323.32","$5,323.32",0,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/82|,9120,1.09,1.1,"$10,032.00","$9,940.80",1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/83|,6096,0.42,1.2,"$7,315.20","$2,560.32",65,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/84|,5340,1.07,1.14,"$6,087.60","$5,713.80",6,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/85|,7152,0.59,0.99,"$7,080.48","$4,219.68",40,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/86|,7224,0.76,0.98,"$7,079.52","$5,490.24",22,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/88|,5640,1.07,1.04,"$5,865.60","$6,034.80",-3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/89|,9144,0.86,1.02,"$9,326.88","$7,863.84",16,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/90|,7188,0.74,0.97,"$6,972.36","$5,319.12",24,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/91|,7200,0.62,1,"$7,200.00","$4,464.00",38,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/92|,8208,1.09,1.18,"$9,685.44","$8,946.72",8,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/93|,7812,0.95,0.98,"$7,655.76","$7,421.40",3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/94|,9516,0.51,0.94,"$8,945.04","$4,853.16",46,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/95|,6060,0.52,0.92,"$5,575.20","$3,151.20",43,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/96|,5472,0.43,0.98,"$5,362.56","$2,352.96",56,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/97|,8376,1.17,1.18,"$9,883.68","$9,799.92",1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/98|,5796,0.44,1.05,"$6,085.80","$2,550.24",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/99|,7320,0.52,1.05,"$7,686.00","$3,806.40",50,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/23|,9576,0.46,0.96,"$9,192.96","$4,404.96",52,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/25|,8688,1.16,0.99,"$8,601.12","$10,078.08",-17,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/26|,4920,0.96,0.93,"$4,575.60","$4,723.20",-3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/27|,6072,1.08,0.95,"$5,768.40","$6,557.76",-14,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/28|,5460,1.07,0.91,"$4,968.60","$5,842.20",-18,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/29|,5268,0.4,1.06,"$5,584.08","$2,107.20",62,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/30|,7164,0.72,1.16,"$8,310.24","$5,158.08",38,Good Profit
2018,Convenience stores,Coffee,J&F,|13/13/31|,7020,0.98,0.96,"$6,739.20","$6,879.60",-2,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/32|,8028,1.17,1.16,"$9,312.48","$9,392.76",-1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/33|,7680,0.44,1.07,"$8,217.60","$3,379.20",59,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/34|,8916,1.13,0.94,"$8,381.04","$10,075.08",-20,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/35|,7392,0.66,1.14,"$8,426.88","$4,878.72",42,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/36|,8472,1.04,1,"$8,472.00","$8,810.88",-4,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/37|,6852,1.02,1.11,"$7,605.72","$6,989.04",8,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/38|,5724,1.01,1.15,"$6,582.60","$5,781.24",12,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/13/39|,8100,0.43,0.95,"$7,695.00","$3,483.00",55,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/40|,6936,0.44,1.19,"$8,253.84","$3,051.84",63,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/13/41|,5964,0.99,0.95,"$5,665.80","$5,904.36",-4,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/01|,5808,1.09,1.17,"$6,795.36","$6,330.72",7,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/02|,5844,0.87,0.9,"$5,259.60","$5,084.28",3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/03|,5292,0.74,0.94,"$4,974.48","$3,916.08",21,Good Profit
2018,Convenience stores,Coffee,J&F,|13/99/04|,6228,1.16,0.92,"$5,729.76","$7,224.48",-26,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/05|,7944,0.86,1.04,"$8,261.76","$6,831.84",17,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/06|,4944,1.07,0.99,"$4,894.56","$5,290.08",-8,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/07|,5028,0.84,1.13,"$5,681.64","$4,223.52",26,Good Profit
2018,Convenience stores,Coffee,J&F,|13/99/08|,8076,1.02,1.17,"$9,448.92","$8,237.52",13,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/09|,7248,1.04,1.07,"$7,755.36","$7,537.92",3,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/10|,6720,0.98,0.99,"$6,652.80","$6,585.60",1,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/11|,9156,0.56,1.11,"$10,163.16","$5,127.36",50,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/99/14|,7932,1.17,1.05,"$8,328.60","$9,280.44",-11,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/15|,5448,0.71,0.9,"$4,903.20","$3,868.08",21,Good Profit
2018,Convenience stores,Coffee,J&F,|13/99/16|,5412,0.64,1.11,"$6,007.32","$3,463.68",42,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/99/17|,7956,1.17,1.19,"$9,467.64","$9,308.52",2,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/99/51|,5772,0.55,1.13,"$6,522.36","$3,174.60",51,Excellent Profits
2018,Convenience stores,Beverages,J&F,|13/05/01|,96,1.14,1.23,$118.08,$109.44,7,Acceptable Profit
2018,Convenience stores,Beverages,J&F,|13/05/02|,144,1.08,1.26,$181.44,$155.52,14,Acceptable Profit
2018,Convenience stores,Beverages,J&F,|13/05/04|,72,1.16,1.23,$88.56,$83.52,6,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/12/87|,336,4.17,5.02,"$1,686.72","$1,401.12",17,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/01|,468,4.86,5.4,"$2,527.20","$2,274.48",10,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/02|,396,4.42,5.2,"$2,059.20","$1,750.32",15,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/03|,264,4.1,5.11,"$1,349.04","$1,082.40",20,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/04|,648,4.46,5.22,"$3,382.56","$2,890.08",15,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/05|,444,4.03,5.35,"$2,375.40","$1,789.32",25,Good Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/06|,336,4.09,5.25,"$1,764.00","$1,374.24",22,Good Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/07|,696,4.21,5.01,"$3,486.96","$2,930.16",16,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/08|,456,4.07,5.09,"$2,321.04","$1,855.92",20,Good Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/09|,696,4.11,5.2,"$3,619.20","$2,860.56",21,Good Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/10|,444,4.22,5.1,"$2,264.40","$1,873.68",17,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/11|,252,4.78,5.06,"$1,275.12","$1,204.56",6,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/12|,600,4.34,5.03,"$3,018.00","$2,604.00",14,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/13|,456,4.48,5.34,"$2,435.04","$2,042.88",16,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/14|,336,4.26,5.21,"$1,750.56","$1,431.36",18,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/15|,612,4.63,5.2,"$3,182.40","$2,833.56",11,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/16|,660,4.4,5.37,"$3,544.20","$2,904.00",18,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/17|,348,4.72,5.14,"$1,788.72","$1,642.56",8,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/18|,372,4.25,5.3,"$1,971.60","$1,581.00",20,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/20|,636,4.76,5.3,"$3,370.80","$3,027.36",10,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/21|,636,4.14,5.37,"$3,415.32","$2,633.04",23,Good Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/22|,300,4.73,5.37,"$1,611.00","$1,419.00",12,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/24|,276,4.35,5.03,"$1,388.28","$1,200.60",14,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/13/44|,420,4.09,5.11,"$2,146.20","$1,717.80",20,Acceptable Profit
2018,Convenience stores,Cosmetics,J&F,|13/99/13|,456,4,5.16,"$2,352.96","$1,824.00",22,Good Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/01|,456,4.56,5.12,"$2,334.72","$2,079.36",11,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/02|,492,4.79,5.4,"$2,656.80","$2,356.68",11,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/03|,336,4.75,5.2,"$1,747.20","$1,596.00",9,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/04|,612,4.85,5.38,"$3,292.56","$2,968.20",10,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/05|,552,4.61,5.19,"$2,864.88","$2,544.72",11,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/06|,516,4.52,5.13,"$2,647.08","$2,332.32",12,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/07|,408,4.22,5.17,"$2,109.36","$1,721.76",18,Acceptable Profit
2018,Convenience stores,Cosmetics,Beiersdorf,|39/01/30|,708,4.89,5.4,"$3,823.20","$3,462.12",9,Acceptable Profit
2018,Convenience stores,Beverages,Famous Grousse,|26/01/01|,144,1.14,1.38,$198.72,$164.16,17,Acceptable Profit
2018,Convenience stores,Beverages,Famous Grousse,|26/01/02|,156,1.13,1.35,$210.60,$176.28,16,Acceptable Profit
2018,Convenience stores,Beverages,Famous Grousse,|26/01/03|,108,1.19,1.23,$132.84,$128.52,3,Acceptable Profit
2018,Convenience stores,Meat,Ferrero,|48/01/41|,480,5.4,8.5,"$4,102.40","$2,569.60",37,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/01|,1224,1.2,1.79,"$2,190.96","$1,468.80",33,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/02|,888,1.41,1.79,"$1,589.52","$1,252.08",21,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/03|,912,1.15,1.6,"$1,459.20","$1,048.80",28,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/04|,888,1.15,1.79,"$1,589.52","$1,021.20",36,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/05|,852,1.16,1.75,"$1,491.00",$988.32,34,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/06|,792,1.41,1.72,"$1,362.24","$1,116.72",18,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/07|,744,1.46,1.79,"$1,331.76","$1,086.24",18,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/08|,1128,1.22,1.69,"$1,906.32","$1,376.16",28,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/09|,624,1.44,1.67,"$1,042.08",$898.56,14,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/10|,1140,1.18,1.66,"$1,892.40","$1,345.20",29,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/11|,876,1.15,1.69,"$1,480.44","$1,007.40",32,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/12|,924,1.36,1.63,"$1,506.12","$1,256.64",17,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/13|,792,1.37,1.87,"$1,481.04","$1,085.04",27,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/14|,900,1.22,1.69,"$1,521.00","$1,098.00",28,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/15|,816,1.39,1.65,"$1,346.40","$1,134.24",16,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/16|,624,1.49,1.73,"$1,079.52",$929.76,14,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/17|,1272,1.42,1.76,"$2,238.72","$1,806.24",19,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/18|,624,1.46,1.82,"$1,135.68",$911.04,20,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/19|,780,1.29,1.75,"$1,365.00","$1,006.20",26,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/20|,1020,1.27,1.8,"$1,836.00","$1,295.40",29,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/21|,912,1.48,1.9,"$1,732.80","$1,349.76",22,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/22|,912,1.4,1.68,"$1,532.16","$1,276.80",17,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/23|,1212,1.5,1.63,"$1,975.56","$1,818.00",8,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/24|,1212,1.32,1.81,"$2,193.72","$1,599.84",27,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/25|,1104,1.24,1.73,"$1,909.92","$1,368.96",28,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/26|,684,1.16,1.71,"$1,169.64",$793.44,32,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/27|,864,1.23,1.6,"$1,382.40","$1,062.72",23,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/28|,696,1.48,1.69,"$1,176.24","$1,030.08",12,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/29|,1308,1.5,1.63,"$2,132.04","$1,962.00",8,Acceptable Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/30|,672,1.13,1.89,"$1,270.08",$759.36,40,Excellent Profits
2018,Convenience stores,Sweets,Ferrero,|48/01/31|,684,1.24,1.82,"$1,244.88",$848.16,32,Good Profit
2018,Convenience stores,Sweets,Ferrero,|48/01/32|,972,1.38,1.89,"$1,837.08","$1,341.36",27,Good Profit
